Column1,Column3,Column4,Column5,Column7,Column8,Column11,Column12,Column15,Column20
KPND,95.3,DEER PARK,WA,100,100,47-39-36,116-57-15,38F1,PROGRESSIVE RADIO 95.3
K237DM,95.3,WALLA WALLA,WA,0,0.115,46-00-33,118-16-59,4C47,107.7 HOT FM
WMJB,95.3,VALLEY,AL,25,25,32-44-08,85-08-55,82AD,GOOD NEWS NETWORK
WRLB,95.3,RAINELLE,WV,13,13,37-57-28,80-45-45,,ROCK 95
W237DE,95.3,HARRISBURG,PA,0.25,0.25,40-18-59,76-57-04,D385,SPORTS RADIO 96.5 FM | 95.3 FM | 1400 AM
W237BV,95.3,HOPKINSVILLE,KY,0.25,0.25,36-55-41,87-32-50,,95.3 THE FARM
WKVN,95.3,CORYDON,KY,25,25,37-46-38,87-37-26,713F,K-LOVE
W237CA,95.3,CULPEPER,VA,0.178,0.178,38-29-04,77-59-22,,105.5 SAM FM
WGMO,95.3,SPOONER,WI,7.1,7.1,45-40-28,91-58-52,65C6,CLASSIC ROCK 95 GMO
WALV-FM,95.3,OOLTEWAH,TN,3.4,3.4,35-07-45,85-20-02,7D7B,TRE JOY FM
K237CR,95.3,HESPERUS,CO,0,0.01,37-21-52,108-08-50,,THE WORD 91.7 FM
WEGG,95.3,BOWMAN,GA,3.3,3.3,34-15-01,83-07-24,,95.3 WEGG GOOD TIME OLDIES
K237DZ,95.3,MISSOULA,MT,0.099,0.099,46-48-09,113-58-24,,RADIO BY GRACE
WOLZ,95.3,FORT MYERS,FL,79,79,26-30-18,81-51-08,1AD7,95.3 THE BEACH
W237BY,95.3,MASON,MI,0.25,0.25,42-43-58,84-33-13,,SHINE FM
K237DW,95.3,MILES CITY,MT,0.034,0.034,46-24-04,105-39-06,,
WFRK,95.3,QUINBY,SC,3.9,3.9,34-13-48,79-44-49,62AQ,LIVE 95 - NEWS TALK 95.3 FM
K237ET,95.3,NEW ULM,MN,0.25,0.25,44-18-19,94-25-03,,89.3 THE CURRENT
W237DH,95.3,ONEONTA,AL,0.085,0.085,33-56-48,86-29-06,,WCRL RADIO
W237DP,95.3,MOUNTAIN TOP,PA,0.099,0.099,41-10-58,75-52-09,,GEM 99 & 100
W237CZ,95.3,GRAND RAPIDS,MI,0.12,0.12,42-55-19,85-41-07,,REAL OLDIES 1480 & 850
KCDQ,95.3,TOMBSTONE,AZ,16.5,16.5,32-01-01,110-05-38,,Q-95.3
WXLF,95.3,HARTFORD,VT,6,6,43-39-14,72-17-44,9287,95.3 AND 107.1THE WOLF
KXXK,95.3,HOQUIAM,WA,3.5,3.5,46-55-55,123-44-04,,KIX THE HARBOR'S NEW COUNTRY
K237DH,95.3,KNOXVILLE,IA,0.25,0.25,41-19-60,93-06-44,,TRUE COUNTRY 1320 AM/95.3 FM
K237FG,95.3,PLEASANT GROVE,UT,0,0.22,40-27-51,111-10-11,,K-LOVE
KCSI,95.3,VILLISCA - RED OAK,IA,50,50,41-01-35,95-12-02,,COUNTRY SUNSHINE
KRJN,95.3,LOG LANE VILLAGE,CO,7,7,40-13-02,103-31-48,,JUAN FM 93.1
WHRB,95.3,CAMBRIDGE,MA,1.45,1.45,42-21-08,71-03-25,68DF,HARVARD RADIO
W237AA,95.3,APPLETON,WI,0.25,0.25,44-15-37,88-22-00,8472,THE SCORE
KJLV,95.3,LOS ALTOS,CA,6,6,37-19-22,121-45-19,28F7,K-LOVE
WTBU-FM,95.3,YORK CENTER,ME,1.45,1.45,43-13-25,70-41-37,1702,95.3 THE BULL
WLKW,95.3,CELORON,NY,0.9,0.9,41-57-31,79-16-11,72CE,K-LOVE
K237DV,95.3,MCCOOK,NE,0,0.205,40-12-46,100-39-07,5529,TRI-STATE PRAISE 107.7
WWSS,95.3,TUSCARORA TOWNSHIP,MI,17,17,45-21-07,84-35-38,,THE BEAR 98.1 & 95.3
K237FD,95.3,EVANSTON,WY,0,0.011,41-21-12,110-54-29,,PILGRIM RADIO
W237BD,95.3,BOCA RATON,FL,0.25,0.25,26-22-12,80-10-23,,ROCK 104.3
K237GG,95.3,DENVER,CO,0.099,0.099,39-43-46,105-14-10,,LEGENDS 95.3 - 810AM
K237FI,95.3,JONESBORO,AR,0.25,0.25,35-47-56,90-44-31,,95.3 THE TICKET
WGUR,95.3,MILLEDGEVILLE,GA,0.085,0.085,33-04-53,83-13-52,,
KJJB,95.3,EAGLE LAKE,TX,17.5,17.5,29-35-33,96-29-25,,RADIO VIDA VISION
W237CW,95.3,PINELLAS PARK,FL,0.25,0.25,27-52-01,82-37-27,,95.3 WDAE
W237DV,95.3,KINGSPORT,TN,0.25,0.25,36-31-37,82-35-15,,ELECTRIC 94
KDJS-FM,95.3,WILLMAR,MN,50,50,45-01-23,95-15-56,18E8,HOT COUNTRY K95.3
K237GF,95.3,KALISPELL,MT,0,0.2,48-00-50,114-22-02,,STAR 92.3-95.3
W237DT,95.3,ESTILL SPRINGS,TN,0.25,0.25,35-16-55,86-08-23,,THE EAGLE 1440 AM 94.5 FM 95.3 FM
W237BZ,95.3,CLAYTON,NC,0.25,0.25,35-42-50,78-49-04,D1E1,95-3 THE BEAT
W237CN,95.3,PERRY,FL,0.25,0.25,30-06-28,83-33-59,,
K237FA,95.3,POCATELLO,ID,0.25,0.25,42-52-26,112-30-48,,NEWSRADIO 1240
K237FJ,95.3,THIEF RIVER FALLS,MN,0,0.25,48-06-59,96-11-32,,THE RIVER 92.1- 107.9 - 95.3
W237EJ,95.3,GAINESVILLE,FL,0.25,0.25,29-42-34,82-23-40,8A0D (WUFT ),
WMNH-LP,95.3,MANCHESTER,NH,0.09,0.09,42-59-34,71-27-50,75B1,
W237FO,95.3,LAKELAND,FL,0.055,0.055,28-01-58,81-57-24,,Z-88
W237DY,95.3,CHESTNUT RIDGE,TN,0.01,0.01,35-21-18,86-31-27,,ROOTS RADIO 89.5
K237FS,95.3,CONROE,TX,0,0.075,30-22-43,95-31-41,2370,AIR1
K237FT,95.3,EUREKA SPRINGS,AR,0.092,0.092,36-21-38,93-44-55,,BOTT RADIO NETWORK
W237EE,95.3,HENDERSONVILLE,NC,0.25,0.25,35-18-53,82-25-58,,THE Q-MUNITY STATION
W237EO,95.3,BLOOMFIELD,CT,0.036,0.036,41-47-48,72-47-50,,LIFE CHANGING RADIO 1550 AN - 95.3 FM
K237GC,95.3,DES MOINES,IA,0.25,0.25,41-38-20,93-48-26,,KISS 107.5
W237EG,95.3,BOONE,NC,0,0.25,36-13-58,81-41-54,,PULSE BOONE
W237EH,95.3,PENNSAUKEN,NJ,0.25,0.25,39-55-35,75-03-11,,THE WORD
KCPZ-LP,95.3,KANSAS CITY,MO,0.037,0,39-00-48,94-33-54,,PRAISE 95
KXDM-LP,95.3,WORLAND,WY,0.1,0,44-01-15,107-53-58,,
WNOZ-LP,95.3,NEW ORLEANS,LA,0.0625,0,29-59-26,90-04-27,7881,WNOZ 95.3
WJEW-LP,95.3,MIAMI,FL,0.0311,0,25-28-07,80-29-07,,
K237FX,95.3,CASAS ADOBES,AZ,0.25,0.25,32-14-57,111-06-59,,K-LOVE
KSIK-LP,95.3,GREELEY,CO,0.0618,0,40-23-24,104-42-59,,THE GHOST
K237FK,95.3,DURANGO,CO,0,0.04,37-21-46,107-47-37,,
K237GA,95.3,ST. GEORGE,UT,0.125,0.125,37-03-49,113-34-21,,RADIO DIXIE 91.3
KTTF-LP,95.3,TOMBALL,TX,0.052,0,30-05-48,95-37-41,441F,TOMBALL TEXAN FOR FUN
KKWZ,95.3,RUGBY,ND,6,6,48-21-15,99-59-32,2CBD,
KEPH-LP,95.3,FRIENDSWOOD,TX,0.0879,0,29-30-32,95-09-53,1C1D,REVIVE FM
KVWG-FM,95.3,DILLEY,TX,0.75,0.75,28-41-05,99-10-45,,NO BULL RADIO
WLHN-LP,95.3,BRANDENBURG,KY,0.047,0,37-59-08,86-11-03,,
KEWZ-LP,95.3,WEST MONROE,LA,0.1,0,32-31-28,92-11-41,,
K237GJ,95.3,KENEDY-KARNES CITY,TX,0.25,0.25,28-51-05,97-52-47,,
WLJM-FM,95.3,MIAMI BEACH,FL,0.049,0,25-55-03,80-09-26,,
WHGE-LP,95.3,WILMINGTON,DE,0.05,0,39-44-31,75-32-32,,
KWKN,95.3,WAKEENEY,KS,100,100,39-15-57,99-50-00,,95.3 THE COWBOY
K237FQ,95.3,BISMARCK,ND,0.25,0.25,46-49-38,100-46-28,,
K237GR,95.3,JOHNSON,AR,0.044,0.044,36-08-50,94-11-14,,ESPN RADIO 99.5
K237GD,95.3,IOWA CITY,IA,0.25,0.25,41-39-30,91-32-41,462A (KUNI),
K237GQ,95.3,KANSAS CITY,KS,0.25,0.25,38-59-59,94-39-58,,EWTN CATHOLIC RADIO
K237GE,95.3,OKLAHOMA CITY,OK,0.25,0.25,35-32-51,97-29-30,35FE,KOKC 95.3 FM 1520 AM
K237FP,95.3,DAVENPORT,IA,0.205,0.205,41-32-48,90-27-56,,
WVIY,95.3,CHARLOTTE AMALIE,VI,50,0,18-21-35,64-58-19,,
K237HE,95.3,DALLAS,TX,0.25,0.25,32-46-43,96-43-51,,RADIO PUNJAB
KZLD-LP,95.3,HOUSTON,TX,0.057,0,29-53-00,95-13-25,,RADIO GRACIA
KOJP,95.3,PRESIDIO,TX,1,1,29-34-15,104-21-43,,MARFA PUBLIC RADIO
KTQA-LP,95.3,TACOMA,WA,0.019,0.019,47-14-22,122-26-42,,
K237GT,95.3,BLUE EARTH,MN,0.25,0.25,43-40-01,94-07-19,,THE INFORMATION STATION
W237EQ,95.3,SANDUSKY,MI,0.25,0.25,43-23-36,82-50-06,,YOUR INFORMATION STATION
K237GU,95.3,COLUMBIA,MO,0.25,0.25,38-57-19,92-16-20,,THE BIG 900 KFAL
W237FG,95.3,DOBSON,NC,0.19,0.19,36-24-19,80-39-27,,
K237GV,95.3,TUBA CITY,AZ,0.25,0.25,36-07-54,111-15-02,,THE VOICE OF HOPE
W237FJ,95.3,BRADENTON,FL,0.25,0.25,27-28-32,82-32-10,,SRQ FM
W237ER,95.3,HUNTINGTON,WV,0.25,0.25,38-25-17,82-23-47,,THE VOICE OF SOUTHERN GOSPEL
W239ET,95.3,LEWISTON,ME,0.25,0.25,44-12-17,70-33-09,,105.1 AND 96.9 WIGY
W237FD,95.3,LAWRENCEBURG,TN,0.25,0.25,35-08-09,87-22-35,5EEE,THE LEGEND 105.3 FM - 95.3 FM - 1370 AM
W237FN,95.3,BEDFORD,VA,0.135,0.135,37-28-14,79-22-34,,
K237GW,95.3,LITTLE ROCK,AR,0.24,0.24,34-46-58,92-11-27,,"VICTORY 1530AM, 100.9FM, 95.3FM"
W237EU,95.3,ST. CLOUD,MN,0.25,0.25,45-33-36,94-08-20,,INFORMATION RADIO
W237EV,95.3,MIDDLETOWN,NY,0,0.25,41-27-16,74-25-05,,WDLC COUNTRY 107.7
K237GX,95.3,ROSEBURG,OR,0.25,0.25,43-12-24,123-21-47,,THE SCORE 92.3 FM - 1490AM
W237EW,95.3,WEST CHESTER,PA,0.24,0.24,39-57-59,75-37-50,,
W237EX,95.3,INTERNATIONAL FALLS,MN,0.25,0.25,48-35-29,93-22-54,,OLDIES 1230 AM & 95.3 FM
K237GY,95.3,PROSSER,WA,0.205,0.205,46-11-12,119-45-13,0000,LA ESTACION DE LA FAMILA
K237GZ,95.3,SAN FRANCISCO,CA,0.04,0.04,37-41-12,122-26-07,,BUSINESS RADIO
W237EY,95.3,SARANAC LAKE,NY,0.25,0.25,44-20-25,74-07-44,,ADIRONDACK 105
W237EZ,95.3,SWAINSBORO,GA,0.25,0.25,32-34-55,82-21-22,,AM 800 THE PATRIOT
W237FA,95.3,NASHUA,NH,0.12,0.12,42-44-04,71-23-36,,NASHUA`S NEWS AND TALK
WWCU,95.3,DILLSBORO,NC,1.05,1.05,35-14-02,83-10-29,,
W237FC,95.3,LAKE PLACID,FL,0.25,0.25,27-30-40,81-31-53,,TK 730 TALKRADIO
W237FB,95.3,TALLAHASSEE,FL,0.099,0.099,30-29-17,84-16-47,,HALLELUJAH 95.3
K237HA,95.3,NAMPA,ID,0.099,0.099,43-45-17,116-05-57,,THE TICKET
W237FE,95.3,CAIRO,IL,0.25,0.25,36-59-32,88-59-19,,103.3 THE BRIDGE
W237FF,95.3,SAN JUAN,PR,0.25,0.25,18-16-43,66-05-32,562E - 'WAPA',LA PODEROSA
K237HD,95.3,FORT WORTH,TX,0.25,0.25,33-45-01,97-16-08,,BIN
K237HF,95.3,SAINT JOSEPH,MO,0.25,0.25,39-40-51,94-46-48,,680 KFEQ
K239DA,95.3,RICHARDSON,TX,0.06,0.06,32-45-53,96-52-25,,KICK 1700
W237FM,95.3,PORTSMOUTH,VA,0.099,0.099,36-48-37,76-16-57,D141,
KHYI-FM1,95.3,HOWE,TX,0.8,0,33-06-10,96-40-13,,95.3 THE RANGE
KXLE-FM1,95.3,CLE ELUM,WA,0.003,0.003,47-09-47,120-47-40,,95.3 KXLE
KHHC-LP,95.3,HORNBROOK,CA,0.1,0.1,41-54-30,122-33-30,,
NEW,95.3,PEMBROKE PINES,FL,0.028,0.028,26-00-31,80-22-16,,
NEW,95.3,CROSSVILLE,AL,0.016,0.016,34-16-10,85-59-36,,
KMBR,95.5,BUTTE,MT,50,50,46-00-29,112-26-30,3712,MONTANA'S BEST ROCK
KLOS,95.5,LOS ANGELES,CA,61,61,34-13-37,118-03-58,2E8A,95.5 KLOS
WYJB,95.5,ALBANY,NY,12,12,42-38-11,74-00-00,94F3,B 95.5
KAFX-FM,95.5,DIBOLL,TX,100,100,31-24-28,94-45-53,F000,"K-FOX 95.5, ALL HIT MUSIC"
W238CM,95.5,"ENDICOTT, ETC.",NY,0.1,0.1,42-06-55,76-03-40,,SOUTHERN GOSPEL STATION WPEL 800 AM
KAHE,95.5,DODGE CITY,KS,100,100,37-38-28,100-20-42,,SUPER HITS 95.5 - 1470
WTVY-FM,95.5,DOTHAN,AL,100,100,31-15-17,85-15-39,890E,95.5 WTVY YOUR COUNTRY
WFGI-FM,95.5,JOHNSTOWN,PA,57,57,40-22-18,78-58-57,6280,FROGGY 95
WCHI-FM,95.5,CHICAGO,IL,3,3,41-52-44,87-38-08,1904,ROCK 95.5
KAAN-FM,95.5,BETHANY,MO,50,50,40-15-23,94-09-23,A10D,"YOUR HOME IN THE COUNTRY, REGIONAL RADIO KAAN"
WGLO,95.5,PEKIN,IL,7,7,40-36-23,89-32-20,65AC,95.5 GLO PEORIA'S CLASSIC ROCK
KWNR,95.5,HENDERSON,NV,92,92,36-00-31,115-00-22,1B7B,95.5 THE BULL
KITX,95.5,HUGO,OK,50,50,33-54-39,95-30-03,2725,K-95.5 FM
KGLI,95.5,SIOUX CITY,IA,100,100,42-30-53,96-18-13,A2FE,KG-95
WQHY,95.5,PRESTONSBURG,KY,100,100,37-41-45,82-45-24,7FB6,Q 95
KNEV,95.5,RENO,NV,60,60,39-15-34,119-42-16,,95.5 THE VIBE
WPPI,95.5,TOPSHAM,ME,3,3,43-54-12,70-02-13,7CB4,WEEI SPORTS RADIO NETWORK
WJDB-FM,95.5,THOMASVILLE,AL,9.6,9.6,31-44-25,87-45-43,6CBB,HOT COUNTY WJDB 95.5
KLBG,95.5,LINDSBORG,KS,15.5,15.5,38-40-00,97-41-30,,SMOKY HILLS ROCK 95.5
WHPE-FM,95.5,HIGH POINT,NC,100,100,35-55-10,80-01-47,68AE,THE Q
WXMG,95.5,LANCASTER,OH,21,21,39-40-32,82-40-34,92A2,MAGIC 95.5
WYND-FM,95.5,SILVER SPRINGS,FL,2.55,2.55,29-16-06,82-04-50,6B1D,WIND FM
KBEK,95.5,MORA,MN,25,25,45-44-33,93-22-48,1316,NICE 95.5
W238AD,95.5,TRINITY,AL,0.013,0.013,34-42-36,87-04-54,,MOST HIP HOP AND R&B
K238AB,95.5,STEAMBOAT SPRINGS,CO,0.013,0.013,40-27-44,106-50-58,,REEL 95.5 & 107.3
KYOT,95.5,PHOENIX,AZ,100,100,33-20-04,112-03-41,15DF,95.5 THE MOUNTAIN
KSDZ,95.5,GORDON,NE,60,60,42-47-56,102-15-40,,THE TWISTER
WXXX,95.5,SOUTH BURLINGTON,VT,25,25,44-30-34,73-10-59,93D1,95 TRIPLE X
KRRQ,95.5,LAFAYETTE,LA,50,50,30-21-08,92-10-51,3EAE,Q 95.5
WBYL,95.5,SALLADASBURG,PA,3.9,3.9,41-14-00,77-12-10,,BILL 95
WPWZ,95.5,PINETOPS,NC,12.5,12.5,35-56-45,77-39-37,,POWER 95
WGFE,95.5,GLEN ARBOR,MI,21,21,44-49-16,85-59-47,650E,ROCK 105 AND 95.5
KZAT-FM,95.5,BELLE PLAINE,IA,4.4,4.4,41-56-35,92-23-51,5217,RADIO Z 99.5 FM
K238CG,95.5,SYNAREP,WA,0.025,0,48-32-53,119-14-06,,THE BEST COUNTRY
K238AE,95.5,CLEARLAKE,CA,0,0.16,39-02-56,122-46-02,,THE COUNTRY STATION
KTOZ-FM,95.5,PLEASANT HOPE,MO,44,44,37-13-25,93-14-30,43B1,ALICE 95.5
KKMJ-FM,95.5,AUSTIN,TX,49,49,30-19-23,97-47-58,2BA9,MAJIC 95.5
KBFF,95.5,PORTLAND,OR,88.7,88.7,45-29-20,122-41-40,132B,LIVE 95.5
KYFO-FM,95.5,OGDEN,UT,100,100,41-14-59,112-14-11,,BIBLE BROADCASTING NETWORK
WOXD,95.5,OXFORD,MS,6,6,34-18-10,89-31-25,,THE BULLSEYE 95.5 CLASSI HITS
KAIM-FM,95.5,HONOLULU,HI,100,100,21-23-45,158-05-58,,95.5 THE FISH
KKZY,95.5,BEMIDJI,MN,100,100,47-22-12,94-52-54,2D0A,KZY 95.5
WLVO,95.5,PROVIDENCE,RI,18.5,18.5,41-49-40,71-22-07,73E4,K-LOVE
KLAQ,95.5,EL PASO,TX,88,88,31-47-47,106-28-55,,THE Q 95.5 EL PASO'S BEST ROCK
WBOP,95.5,BUFFALO GAP,VA,6,6,38-10-55,79-13-34,58C7,88.3 THE JOURNEY
WKQI,95.5,DETROIT,MI,100,100,42-28-23,83-11-59,17B8,CHANNEL 95.5
KXBS-FM,95.5,BETHALTO,IL,10.5,10.5,38-39-08,90-17-03,4C8E (KWYG),BOOST RADIO
KHFM,95.5,SANTA FE,NM,17.5,17.5,35-46-49,106-31-37,230A,CLASSICAL 95.5
KRVG-FM1,95.5,WEST GLENWOOD SPRING,CO,0,0.5,39-33-40,107-18-59,,THE RIVER 95.5/106.3
WIBZ,95.5,WEDGEFIELD,SC,4.4,4.4,33-56-56,80-23-34,69FB,Z-95
KDHS-LP,95.5,DELTA JUNCTION,AK,0.1,0.1,64-02-34,145-42-37,,
WFHM-FM,95.5,CLEVELAND,OH,31,31,41-26-32,81-29-28,629E,THE FISH
KNDY,95.5,MARYSVILLE,KS,25,25,39-57-36,96-44-05,32BA,YOUR COUNTRY
KMLS,95.5,MILES,TX,7.6,7.6,31-31-50,100-18-28,,
WOOO-LP,95.5,DEFIANCE,OH,0.035,0.035,41-18-41,84-21-55,----,
WIXV,95.5,SAVANNAH,GA,98,98,32-03-30,81-20-18,6C33,I-95
KQWJ-LP,95.5,JONESBORO,LA,0.1,0.1,32-14-33,92-42-25,,
WIFC,95.5,WAUSAU,WI,98.6,98.6,44-55-14,89-41-28,6A4C,#1 MUSIC HIT STATION
WHLH,95.5,JACKSON,MS,100,100,32-14-26,90-24-15,,HALLELUJAH 95.5
KZLC-LP,95.5,PINEVILLE,LA,0.037,0.037,31-19-24,92-25-48,,
W238AM,95.5,TITUSVILLE,FL,0.1,0.1,28-37-04,80-48-39,,WE KEEP TELLING OTHERS
KJEZ,95.5,POPLAR BLUFF,MO,100,100,36-50-50,90-19-52,2845,Z95 THE BONE
KAIQ,95.5,WOLFFORTH,TX,100,100,33-31-03,101-51-24,FFFF  WXB,LA TRICOLOR
K238AS,95.5,HEBER CITY,UT,0,0.218,40-33-44,111-28-30,,FM 100
WPLJ,95.5,NEW YORK,NY,6.7,6.7,40-44-54,73-59-10,7D6B,K-LOVE
KKHK,95.5,CARMEL,CA,1.7,1.7,36-33-09,121-47-17,,95.5 BOB FM
KCHK-FM,95.5,NEW PRAGUE,MN,6,6,44-27-40,93-35-08,,CLASSIC MUSIC KCHK
KYNU,95.5,JAMESTOWN,ND,100,100,46-56-21,98-18-30,A5C6,BIG DOG COUNTRY
WFMH-FM,95.5,HACKLEBURG,AL,4.1,4.1,34-16-53,87-49-31,631B,BIG 95.5
WNIR-LP,95.5,NEWBERRY,SC,0.058,0.058,34-17-03,81-37-16,,
KZFM,95.5,CORPUS CHRISTI,TX,100,100,27-39-34,97-34-13,5292,Z 95
K238AF,95.5,SANTA ROSA,CA,0.24,0.24,38-30-31,122-39-41,,95.9 THE KRUSH
W238BN,95.5,BLACKSBURG,VA,0.25,0.25,37-11-12,80-28-54,,WVTF MUSIC
WNGR-LP,95.5,TIGERVILLE,SC,0.1,0.1,35-04-12,82-22-20,,THE VIBE
W238AL,95.5,PORTAGE,MI,0.13,0.13,42-14-13,85-34-38,,THE TOUCH
KPHT-FM1,95.5,PUEBLO,CO,0.0001,11,38-21-32,104-38-17,,PUEBLO'S GREATEST HITS
W238BO,95.5,BLACK MOUNTAIN,NC,0.01,0.01,35-34-04,82-23-02,,HIS RADIO
K238AH,95.5,KING CITY,CA,0.25,0.25,36-12-23,121-06-49,,K-LOVE
K238CK,95.5,HOISINGTON,KS,0.25,0.25,38-21-45,98-45-51,,1590 KVGB AND 97-7 FM
K238BO,95.5,CEDAR CITY,UT,0.099,0.099,37-38-22,113-01-59,,PLANET 105.1
W238CO,95.5,CHARLESTON,SC,0.25,0.25,32-49-01,79-50-10,,LATINA 99.5 FM
K238AX,95.5,BROOKINGS,SD,0.05,0.05,44-20-22,96-46-08,,CLASSICAL MPR
W238CS,95.5,CLANTON,AL,0.25,0.25,32-48-31,86-41-28,,ALL GOSPEL ALL THE TIME
K238AY,95.5,RIO LINDA,CA,0.027,0.027,38-42-28,121-28-32,,CSN INTERNATIONAL
W238AV,95.5,WILMINGTON,NC,0.1,0.1,34-12-36,77-56-52,,K-LOVE
K238AR,95.5,COLUMBUS,NE,0.25,0.25,41-26-43,97-23-17,,BOTT RADIO NETWORK
W238BC,95.5,MANITOWOC,WI,0.08,0.08,44-08-25,87-35-31,----,THE FAMILY
KWYY,95.5,MIDWEST,WY,100,100,42-44-37,106-18-24,4CA0,MY COUNTRY 95.5
KWEY-FM,95.5,CLINTON,OK,18.5,18.5,35-26-43,98-59-19,4A98,COYOTE COUNTRY
KPHT,95.5,ROCKY FORD,CO,100,100,37-54-08,104-16-00,,PUEBLO'S GREATEST HITS
W238BI,95.5,GEORGETOWN,SC,0.027,0.027,33-25-58,79-16-16,,HIS RADIO
KYFO-FM1,95.5,SALT LAKE CITY,UT,0,0.007,40-48-29,111-53-22,,BIBLE BROADCASTING NETWORK
K238BD,95.5,WICHITA,KS,0.25,0.25,37-43-05,97-19-05,2984,BOTT RADIO NETWORK
W238CT,95.5,EAST ALBANY,GA,0.01,0.01,31-32-57,84-00-19,,106.7 THE BUCK
K238AK,95.5,PALM DESERT,CA,0.045,0.045,33-48-08,116-13-30,,K-LOVE
KCHH,95.5,WORDEN,MT,100,100,45-44-29,108-08-21,1605,LITE FM 95.5
KWEN,95.5,TULSA,OK,100,100,36-11-46,96-05-53,4A8D,K-95 FM
WFIZ,95.5,ODESSA,NY,0.85,0.85,42-23-13,76-40-11,3712,Z95.5
KRVG,95.5,GLENWOOD SPRINGS,CO,1.2,1.2,39-25-07,107-22-08,,THE RIVER 95.5/106.3
WLDI,95.5,JUNO BEACH,FL,100,100,27-07-20,80-23-19,720A,WILD 95.5 ALL THE HITS
K238BF,95.5,ATLANTA,TX,0.185,0.185,33-04-58,94-10-58,,K 104
KJCY,95.5,ST. ANSGAR,IA,6,6,43-21-52,92-51-05,2810,
WCXE-LP,95.5,ERLANGER,KY,0.055,0,39-00-26,84-38-09,,TOUCH FM
KRKQ,95.5,MOUNTAIN VILLAGE,CO,0.25,0.25,37-59-29,107-58-21,,MOUNTAIN CHILL 96.5
W238BY,95.5,POKOMOKE CITY,MD,0.05,0.05,38-04-36,75-32-17,,THE VAULT
W238CA,95.5,UTICA,NY,0.25,0.25,43-08-34,75-10-34,,95.5 THE HEAT
W238CR,95.5,MAYAGUEZ,PR,0.25,0.25,18-18-49,67-11-26,,NUEVA VIDA
WPGC-FM,95.5,MORNINGSIDE,MD,40,40,38-51-49,76-54-39,7CE2,WPGC 95.5
WFMS,95.5,FISHERS,IN,13,13,39-46-03,86-00-12,6326,THE COUNTRY STATION
W238CB,95.5,MONROE,WI,0.25,0.25,42-34-36,89-41-34,,CLASSIC BIG COUNTRY AM 1260
K238AV,95.5,YUBA CITY,CA,0,0.126,39-12-20,121-49-10,,POWER 95
K238AZ,95.5,ODESSA,TX,0.25,0.25,31-53-50,102-20-14,,NEWSTALK KCRS 550AM-95.5FM-97.5FM
WSM-FM,95.5,NASHVILLE,TN,100,100,36-08-27,86-51-56,99A4,NASH ICON
W238AN,95.5,CLINTON,KY,0.25,0.25,36-45-58,88-38-50,,93.3 WKYQ
W238CD,95.5,COLDWATER,MI,0.25,0.25,41-54-34,85-00-21,,WTVB 1590AM - 95.5 FM
W238AU,95.5,AUGUSTA,GA,0.25,0.25,33-30-44,82-04-47,,HOT 95.5/93.1
WCPL-LP,95.5,MERRITT ISLAND,FL,0.1,0.1,28-21-21,80-42-08,,TODAY'S CHRISTIAN MUSIC
KOME-FM,95.5,TOLAR,TX,1.55,1.55,32-16-23,98-01-24,3634,K-HITS 95-5
K238BC,95.5,OGALLALA,NE,0.062,0.062,41-11-01,101-40-19,,MY BRIDGE RADIO
W238BD,95.5,TITUSVILLE,PA,0,0.25,41-37-38,79-40-15,,FAMILY LIFE NETWORK
K238BA,95.5,MITCHELL,SD,0.011,0.011,43-42-05,98-03-47,,MORE 95.5
W238CF,95.5,JACKSONVILLE,NC,0.25,0.25,34-44-56,77-24-51,,MAGIC 103.3/95.5
KTWF,95.5,SCOTLAND,TX,19,19,33-41-04,98-36-46,4E4F,K-HITS 95-5
WMXP-LP,95.5,GREENVILLE,SC,0.067,0.067,34-54-01,82-24-46,,
W238CE,95.5,MONTGOMERY,AL,0.185,0.185,32-22-04,86-15-42,,LA VOZ
W238BJ,95.5,AUBURN,OH,0.07,0.07,39-21-11,84-19-44,7B62,AIR1
K238AL,95.5,REEDSPORT,OR,0,0.075,43-40-40,124-06-36,,CSN INTERNATIONAL
W238BH,95.5,KENDALLVILLE,IN,0.25,0.25,41-27-19,85-15-44,,95.5 FM-1140 AM - THE HAWK
WVXE-LP,95.5,ORANGE PARK,FL,0.038,0,30-08-06,81-46-38,,
KVWR-LP,95.5,DALLAS,TX,0.024,0,32-38-10,96-43-55,,
K238CE,95.5,PARK CITY,UT,0.05,0.05,40-05-21,111-49-15,,"LIFE UNLOCKED, TRUTH UNLEASHED"
K238BP,95.5,LAKE GEORGE,CO,0.01,0.01,39-02-55,105-30-44,,NATIONAL PUBLIC RADIO FOR SOUTHERN COLORADO
K238BN,95.5,WYNNE,AR,0.25,0.25,35-11-59,90-43-22,,OLDIES 102.3
W238CQ,95.5,MARION,IL,0.25,0.25,37-45-15,88-56-05,,95.5 THE FAN
K238CC,95.5,DALLAS,TX,0.25,0.25,32-52-15,96-55-24,,
W238CH,95.5,DECATUR,IL,0.25,0.25,39-47-11,88-59-29,,MAGIC 95 OLD SCHOOL AND TODAY'S R&B
K238BZ,95.5,SEGUIN,TX,0.25,0.25,29-32-53,98-20-35,,RADIO JALAPENO 1540
KUJJ,95.5,MCCALL,ID,2.7,2.7,44-45-54,116-11-54,,STAR 95.5
